model,file_id,error_category,detailed_type,section,reasoning
gpt-4.1,day1_consultation03.txt,OMISSION,OMITTED,hpi,"Gold notes gradual onset starting a few hours ago; generated chief complaint states sudden onset since midday. Side (left) is present in gen CC, but onset characteristics and timing differ, so the specific gold fact is not correctly captured."
gpt-4.1,day1_consultation03.txt,OMISSION,OMITTED,hpi,Gold specifies the headache is not radiating. Generated facts mention throbbing and worsening with movement but do not state that pain is non-radiating.
gpt-4.1,day1_consultation03.txt,OMISSION,OMITTED,allergy,Gold: NKDA. There is no generated fact about allergies or adverse drug reactions.
gpt-4.1,day1_consultation03.txt,OMISSION,OMITTED,sh,Gold: very stressed but denies mood symptoms. Generated sh-001: high stress (covered) but does not document denial of mood symptoms. The ‘nil mood symptoms’ component is missing.
gpt-4.1,day1_consultation03.txt,OMISSION,OMITTED,fu,Gold: review in 1 week to discuss prophylactic treatment. Generated follow-up (plan-005/fu-001) mentions follow-up for discussion and reassessment but not the 1-week timeframe or specific purpose of discussing prophylaxis.
gpt-4.1,day1_consultation03.txt,OMISSION,OMITTED,fu,"Gold: return earlier if worsening symptoms (headaches, vomiting, vision symptoms) or any concerns. Generated plan-003 safety net is similar but uses different criteria (worsen, persist >2–3 days, focal neuro symptoms). The specific gold phrasing about headaches, vomiting, vision symptoms, and any concerns is not directly mirrored."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,CONTRADICTION,cc,Generated: severe left-sided headache with sudden onset since midday. Gold HPI-001: headache started a few hours ago with gradual onset. Onset character (sudden vs gradual) and timing description conflict.
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,hpi,"Partially supported and partially extra. Supported by hpi-003 and hpi-004 regarding visual aura with zigzag lines and blurred vision before headache. However, gold does not specify vision as bilateral, so that detail is an addition."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,hpi,Photophobia is supported by gold hpi-004. The detail of wearing sunglasses indoors is not in the gold facts and is an addition.
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,hpi,"A prior similar headache episode (few weeks ago, lasted 2 days, improved with painkillers/rest, required sick leave) is not described anywhere in the gold facts. This is new information."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,hpi,"Generated: no prior history of migraines. Gold PMH-001 says no significant past medical history but does not specifically comment on prior migraines. This is additional specificity, not directly stated in gold."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,hpi,"Fear of a brain tumor is supported by gold hpi-009 (worried about brain Ca), but the explanation that this is due to a friend's mother dying of brain cancer is additional context not in gold."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,med,"Gold confirms Microgynon use. Generated fact adds it is an OCP, duration of 3 months, and indication (contraception), which are not in gold; core medication use is supported."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,sh,"Working in fashion industry and high stress: job is supported by gold sh-001; high stress is supported by sh-002 (‘Feeling stressed ++’). However, gold also states denial of mood symptoms which is omitted, so this is partially covered and partially incomplete but not contradictory; treated as addition/partial support."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,sh,Low levels of exercise are not mentioned anywhere in the gold facts; this is new information.
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,pf,Gold facts contain no explicit statements about the presence or absence of documented vitals/exam findings. This meta-comment about documentation is not derivable from gold.
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,pf,"No documented focal neurological deficit is not mentioned in gold. While gold notes absence of certain neurological symptoms, it does not comment on the exam documentation; thus this is added information."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,asm,"Assessment of probable migraine is supported by gold asm-001 (impression: migraine). However, the explicit list of supporting features (prior episode, etc.) includes elements such as prior similar episode that are not in gold, so overall this is partially supported diagnosis with additional rationale."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,asm,Gold hpi-009 notes worry about brain cancer but does not separately list ‘patient anxiety’ as an assessment/diagnosis. Turning this concern into a separate assessed problem is an interpretive addition.
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,plan,Gold plan-002 supports paracetamol and NSAIDs. Consideration of cocodamol and specific agents (ibuprofen/naproxen) are additional details not in gold.
