model,file_id,total_gold_facts,total_gen_facts,omission_rate,contradiction_rate,addition_rate,total_error_score
gpt-4.1,day1_consultation03.txt,22,27,0.2727,0.037,0.5926,0.9023
gpt-4.1,day1_consultation04.txt,22,54,0.1364,0.037,0.1111,0.2845
gpt-4.1,day1_consultation05.txt,21,31,0.2381,0.0323,0.4516,0.722
gpt-4.1,day1_consultation06.txt,23,34,0.3478,0.0588,0.3235,0.7301
gpt-4.1,day1_consultation07.txt,18,31,0.3333,0.0323,0.3548,0.7203999999999999
gpt-4.1,day1_consultation08.txt,23,33,0.1304,0.0,0.2121,0.3425
gpt-4.1,day1_consultation09.txt,24,30,0.4583,0.0667,0.3667,0.8917
gpt-4.1,day1_consultation10.txt,22,27,0.3182,0.037,0.2963,0.6515
gpt-4.1,day1_consultation12.txt,22,36,0.3182,0.1111,0.25,0.6793
gpt-4.1,day1_consultation14.txt,20,41,0.2,0.0732,0.1951,0.4683
gpt-4.1,day1_consultation15.txt,17,23,0.6471,0.0435,0.3478,1.0384
gpt-4.1,day2_consultation01.txt,12,17,0.1667,0.0588,0.1765,0.40199999999999997
gpt-4.1,day2_consultation06.txt,23,25,0.2174,0.12,0.4,0.7374
gpt-4.1,day2_consultation07.txt,26,25,0.3846,0.08,0.32,0.7846
gpt-4.1,day2_consultation08.txt,32,28,0.125,0.0357,0.1429,0.3036
gpt-4.1,day2_consultation09.txt,25,27,0.12,0.0,0.2593,0.37929999999999997
gpt-4.1,day2_consultation10.txt,33,35,0.0303,0.0,0.2,0.2303
gpt-4.1,day3_consultation01.txt,17,15,0.2941,0.0667,0.4,0.7607999999999999
gpt-4.1,day3_consultation02.txt,25,28,0.2,0.0,0.3929,0.5929
gpt-4.1,day3_consultation03.txt,21,25,0.2857,0.04,0.36,0.6857
gpt-4.1,day3_consultation04.txt,25,26,0.56,0.0385,0.4231,1.0216
gpt-4.1,day3_consultation05.txt,19,18,0.4211,0.1111,0.2778,0.81
gpt-4.1,day3_consultation06.txt,13,18,0.1538,0.0556,0.4444,0.6537999999999999
gpt-4.1,day3_consultation07.txt,28,27,0.1071,0.0,0.2593,0.36639999999999995
gpt-4.1,day3_consultation08.txt,17,27,0.2353,0.037,0.4444,0.7167
gpt-4.1,day3_consultation09.txt,22,30,0.2273,0.0,0.5333,0.7605999999999999
gpt-4.1,day3_consultation10.txt,25,31,0.2,0.0323,0.129,0.3613
gpt-4.1,day4_consultation01.txt,19,25,0.6316,0.04,0.64,1.3116
gpt-4.1,day4_consultation02.txt,28,36,0.3571,0.0278,0.4722,0.8571
gpt-4.1,day4_consultation03.txt,17,22,0.7647,0.1818,0.5455,1.492
gpt-4.1,day4_consultation04.txt,17,21,0.2941,0.0,0.4762,0.7703
gpt-4.1,day4_consultation05.txt,20,34,0.6,0.0588,0.4706,1.1294
gpt-4.1,day4_consultation06.txt,32,26,0.25,0.0385,0.3462,0.6347
gpt-4.1,day4_consultation07.txt,22,31,0.1818,0.0645,0.4194,0.6657
gpt-4.1,day4_consultation08.txt,23,23,0.1739,0.087,0.4348,0.6957
gpt-4.1,day4_consultation09.txt,27,30,0.3333,0.0333,0.7,1.0666
gpt-4.1,day4_consultation10.txt,27,24,0.1111,0.0833,0.5417,0.7361
gpt-4.1,day5_consultation01.txt,39,32,0.3077,0.0625,0.1562,0.5264
gpt-4.1,day5_consultation02.txt,27,30,0.4074,0.1,0.3333,0.8407
