model,file_id,total_facts,supported_count,addition_count,contradiction_count,hallucination_rate
gpt-4.1,day1_consultation02.txt,40,33,6,1,0.175
gpt-4.1,day1_consultation03.txt,27,27,0,0,0.0
gpt-4.1,day1_consultation04.txt,54,49,5,0,0.0926
gpt-4.1,day1_consultation05.txt,31,30,0,1,0.0323
gpt-4.1,day1_consultation06.txt,34,33,1,0,0.0294
gpt-4.1,day1_consultation07.txt,31,26,4,1,0.1613
gpt-4.1,day1_consultation08.txt,33,31,1,1,0.0606
gpt-4.1,day1_consultation09.txt,30,29,1,0,0.0333
gpt-4.1,day1_consultation10.txt,27,27,0,0,0.0
gpt-4.1,day1_consultation11.txt,25,22,1,2,0.12
gpt-4.1,day1_consultation12.txt,36,32,4,0,0.1111
gpt-4.1,day1_consultation13.txt,40,38,1,1,0.05
gpt-4.1,day1_consultation14.txt,41,39,1,1,0.0488
gpt-4.1,day1_consultation15.txt,23,21,2,0,0.087
gpt-4.1,day2_consultation01.txt,17,16,1,0,0.0588
gpt-4.1,day2_consultation02.txt,26,26,0,0,0.0
gpt-4.1,day2_consultation03.txt,23,22,1,0,0.0435
gpt-4.1,day2_consultation04.txt,25,22,3,0,0.12
gpt-4.1,day2_consultation06.txt,25,25,0,0,0.0
gpt-4.1,day2_consultation07.txt,25,24,0,1,0.04
gpt-4.1,day2_consultation08.txt,28,27,1,0,0.0357
gpt-4.1,day2_consultation09.txt,27,27,0,0,0.0
gpt-4.1,day2_consultation10.txt,35,35,0,0,0.0
gpt-4.1,day3_consultation01.txt,15,14,1,0,0.0667
gpt-4.1,day3_consultation02.txt,28,24,4,0,0.1429
gpt-4.1,day3_consultation03.txt,25,22,3,0,0.12
gpt-4.1,day3_consultation04.txt,26,24,1,1,0.0769
gpt-4.1,day3_consultation05.txt,18,18,0,0,0.0
gpt-4.1,day3_consultation06.txt,18,17,1,0,0.0556
gpt-4.1,day3_consultation07.txt,27,25,2,0,0.0741
gpt-4.1,day3_consultation08.txt,27,26,1,0,0.037
gpt-4.1,day3_consultation09.txt,30,24,3,3,0.2
gpt-4.1,day3_consultation10.txt,31,31,0,0,0.0
gpt-4.1,day4_consultation01.txt,25,18,6,1,0.28
gpt-4.1,day4_consultation02.txt,36,35,0,1,0.0278
gpt-4.1,day4_consultation03.txt,22,20,2,0,0.0909
gpt-4.1,day4_consultation04.txt,21,20,1,0,0.0476
gpt-4.1,day4_consultation05.txt,34,24,6,4,0.2941
gpt-4.1,day4_consultation06.txt,26,26,0,0,0.0
gpt-4.1,day4_consultation07.txt,31,29,2,0,0.0645
gpt-4.1,day4_consultation08.txt,23,19,4,0,0.1739
gpt-4.1,day4_consultation09.txt,30,29,0,1,0.0333
gpt-4.1,day4_consultation10.txt,24,22,2,0,0.0833
gpt-4.1,day5_consultation01.txt,32,31,1,0,0.0312
gpt-4.1,day5_consultation02.txt,30,29,1,0,0.0333
gpt-4.1,day5_consultation03.txt,34,34,0,0,0.0
gpt-4.1,day5_consultation04.txt,27,24,2,1,0.1111
gpt-4.1,day5_consultation05.txt,40,38,2,0,0.05
gpt-4.1,day5_consultation06.txt,45,42,2,1,0.0667
gpt-4.1,day5_consultation07.txt,37,35,2,0,0.0541
gpt-4.1,day5_consultation08.txt,33,29,2,2,0.1212
gpt-4.1,day5_consultation09.txt,31,28,3,0,0.0968
gpt-4.1,day5_consultation10.txt,41,41,0,0,0.0
gpt-4.1,day5_consultation11.txt,34,28,5,1,0.1765
gpt-4.1,day5_consultation12.txt,31,28,2,1,0.0968
gpt-4.1-mini,day1_consultation02.txt,24,23,0,1,0.0417
gpt-4.1-mini,day1_consultation03.txt,26,26,0,0,0.0
gpt-4.1-mini,day1_consultation04.txt,31,29,2,0,0.0645
gpt-4.1-mini,day1_consultation05.txt,26,26,0,0,0.0
gpt-4.1-mini,day1_consultation06.txt,38,35,2,1,0.0789
gpt-4.1-mini,day1_consultation07.txt,28,25,3,0,0.1071
gpt-4.1-mini,day1_consultation08.txt,28,26,2,0,0.0714
gpt-4.1-mini,day1_consultation09.txt,35,33,2,0,0.0571
gpt-4.1-mini,day1_consultation10.txt,26,26,0,0,0.0
gpt-4.1-mini,day1_consultation11.txt,28,25,2,1,0.1071
gpt-4.1-mini,day1_consultation12.txt,31,31,0,0,0.0
gpt-4.1-mini,day1_consultation13.txt,38,38,0,0,0.0
